wave[um],flux[W/m^2/um]
0.4397,3.8115e-19
0.4400,3.9107e-19
0.4402,4.0967e-19
0.4404,4.1040e-19
0.4406,4.2454e-19
0.4408,4.5011e-19
0.4411,4.7147e-19
0.4413,5.0798e-19
0.4415,5.3848e-19
0.4417,5.3740e-19
0.4419,4.8345e-19
0.4422,4.0254e-19
0.4424,3.4869e-19
0.4426,3.5423e-19
0.4428,3.7921e-19
0.4431,4.0360e-19
0.4433,4.1882e-19
0.4435,4.2511e-19
0.4437,4.1667e-19
0.4439,3.9992e-19
0.4442,3.9761e-19
0.4444,3.9881e-19
0.4446,4.1169e-19
0.4448,4.2936e-19
0.4450,4.3286e-19
0.4453,4.3821e-19
0.4455,4.6001e-19
0.4457,4.8007e-19
0.4459,4.7589e-19
0.4462,4.6144e-19
0.4464,4.0600e-19
0.4466,3.5663e-19
0.4468,3.4361e-19
0.4471,3.3623e-19
0.4473,3.5148e-19
0.4475,3.7781e-19
0.4477,3.9450e-19
0.4480,4.2600e-19
0.4482,4.5969e-19
0.4484,4.5313e-19
0.4486,4.1832e-19
0.4488,4.2592e-19
0.4491,4.4785e-19
0.4493,4.5105e-19
0.4495,4.5400e-19
0.4497,4.7751e-19
0.4500,5.1273e-19
0.4502,5.3709e-19
0.4504,4.9550e-19
0.4506,4.4488e-19
0.4509,4.1171e-19
0.4511,4.0239e-19
0.4513,3.9760e-19
0.4515,3.9890e-19
0.4518,4.0351e-19
0.4520,4.3001e-19
0.4522,4.6167e-19
0.4525,4.8563e-19
0.4527,5.0942e-19
0.4529,5.0586e-19
0.4531,5.1495e-19
0.4534,5.3907e-19
0.4536,5.8170e-19
0.4538,6.3249e-19
0.4540,6.4226e-19
0.4543,6.0628e-19
0.4545,5.6034e-19
0.4547,5.1795e-19
0.4549,4.9982e-19
0.4552,5.1114e-19
0.4554,5.2023e-19
0.4556,5.0562e-19
0.4559,5.0504e-19
0.4561,5.0245e-19
0.4563,4.9050e-19
0.4565,5.0992e-19
0.4568,5.7028e-19
0.4570,6.2587e-19
0.4572,6.4748e-19
0.4575,6.7586e-19
0.4577,7.1498e-19
0.4579,7.6102e-19
0.4581,7.3992e-19
0.4584,6.3629e-19
0.4586,5.0415e-19
0.4588,4.3378e-19
0.4591,4.2279e-19
0.4593,4.4473e-19
0.4595,4.5926e-19
0.4597,4.6144e-19
0.4600,4.8068e-19
0.4602,5.0042e-19
0.4604,5.0196e-19
0.4607,4.9943e-19
0.4609,5.5757e-19
0.4611,6.3285e-19
0.4614,6.3335e-19
0.4616,5.9814e-19
0.4618,5.9883e-19
0.4621,6.2765e-19
0.4623,6.2322e-19
0.4625,5.7931e-19
0.4627,5.0707e-19
0.4630,4.5383e-19
0.4632,4.3437e-19
0.4634,4.1835e-19
0.4637,4.1349e-19
0.4639,4.2489e-19
0.4641,4.4340e-19
0.4644,4.7935e-19
0.4646,5.0868e-19
0.4648,5.4611e-19
0.4651,5.8355e-19
0.4653,5.7064e-19
0.4655,5.9292e-19
0.4658,6.4126e-19
0.4660,6.4622e-19
0.4662,6.4627e-19
0.4665,6.5605e-19
0.4667,6.4499e-19
0.4669,5.7637e-19
0.4672,5.0623e-19
0.4674,5.0345e-19
0.4676,5.1881e-19
0.4679,4.7553e-19
0.4681,4.5000e-19
0.4683,4.7774e-19
0.4686,5.2273e-19
0.4688,5.6760e-19
0.4690,6.1951e-19
0.4693,6.5653e-19
0.4695,6.7550e-19
0.4697,6.7144e-19
0.4700,6.6425e-19
0.4702,7.1270e-19
0.4704,7.5881e-19
0.4707,7.9035e-19
0.4709,8.3912e-19
0.4711,8.2133e-19
0.4714,7.5228e-19
0.4716,7.0445e-19
0.4719,6.7294e-19
0.4721,6.5209e-19
0.4723,5.9329e-19
0.4726,5.6896e-19
0.4728,5.9975e-19
0.4730,6.4620e-19
0.4733,6.9739e-19
0.4735,7.4807e-19
0.4737,7.6925e-19
0.4740,7.4589e-19
0.4742,7.6872e-19
0.4745,7.8432e-19
0.4747,7.7763e-19
0.4749,7.9212e-19
0.4752,8.6010e-19
0.4754,9.7526e-19
0.4756,1.0291e-18
0.4759,8.9882e-19
0.4761,6.7264e-19
0.4764,5.2716e-19
0.4766,5.0068e-19
0.4768,5.0706e-19
0.4771,5.0632e-19
0.4773,5.1196e-19
0.4775,5.2953e-19
0.4778,5.5606e-19
0.4780,5.4837e-19
0.4783,5.6398e-19
0.4785,5.7347e-19
0.4787,5.2864e-19
0.4790,5.3162e-19
0.4792,5.8501e-19
0.4795,6.2833e-19
0.4797,6.7733e-19
0.4799,7.2728e-19
0.4802,7.1244e-19
0.4804,6.4424e-19
0.4807,6.0186e-19
0.4809,5.9279e-19
0.4811,5.9439e-19
0.4814,5.6936e-19
0.4816,5.3204e-19
0.4819,5.2382e-19
0.4821,5.3425e-19
0.4823,5.4641e-19
0.4826,5.9325e-19
0.4828,6.5545e-19
0.4831,7.0046e-19
0.4833,7.2348e-19
0.4836,7.5355e-19
0.4838,8.2844e-19
0.4840,9.1365e-19
0.4843,9.4690e-19
0.4845,9.4222e-19
0.4848,9.3221e-19
0.4850,8.5069e-19
0.4852,8.0696e-19
0.4855,8.2279e-19
0.4857,7.9966e-19
0.4860,7.0461e-19
0.4862,6.4156e-19
0.4865,6.9359e-19
0.4867,7.7201e-19
0.4869,8.0450e-19
0.4872,8.4421e-19
0.4874,9.0163e-19
0.4877,9.5050e-19
0.4879,1.0636e-18
0.4882,1.1031e-18
0.4884,1.0586e-18
0.4887,1.1303e-18
0.4889,1.1709e-18
0.4891,1.1630e-18
0.4894,1.1261e-18
0.4896,1.1124e-18
0.4899,1.1342e-18
0.4901,1.1593e-18
0.4904,1.1217e-18
0.4906,9.9977e-19
0.4909,9.8476e-19
0.4911,1.0974e-18
0.4914,1.1356e-18
0.4916,1.1396e-18
0.4918,1.2010e-18
0.4921,1.2184e-18
0.4923,1.2708e-18
0.4926,1.4530e-18
0.4928,1.6189e-18
0.4931,1.7451e-18
0.4933,1.8046e-18
0.4936,1.8085e-18
0.4938,1.8299e-18
0.4941,1.7275e-18
0.4943,1.7110e-18
0.4946,1.8190e-18
0.4948,1.8991e-18
0.4950,1.8423e-18
0.4953,1.6050e-18
0.4955,1.1655e-18
0.4958,7.9435e-19
0.4960,7.4939e-19
0.4963,7.8141e-19
0.4965,7.7490e-19
0.4968,8.4608e-19
0.4970,9.5161e-19
0.4973,9.6866e-19
0.4975,9.6221e-19
0.4978,9.8197e-19
0.4980,9.7473e-19
0.4983,1.0090e-18
0.4985,1.0965e-18
0.4988,1.1495e-18
0.4990,1.1832e-18
0.4993,1.2508e-18
0.4995,1.3115e-18
0.4998,1.3136e-18
0.5000,1.1754e-18
0.5003,1.0409e-18
0.5005,1.0299e-18
0.5008,1.0346e-18
0.5010,9.5139e-19
0.5013,8.0585e-19
0.5015,7.3800e-19
